Date/Time,Unit,Value
6/18/11 9:03:01 AM,C,23.691
6/18/11 10:03:01 AM,C,24.191
6/18/11 11:03:01 AM,C,35.179
6/18/11 12:03:01 PM,C,35.677
6/18/11 1:03:01 PM,C,34.181
6/18/11 2:03:01 PM,C,42.652
6/18/11 3:03:01 PM,C,34.68
6/18/11 4:03:01 PM,C,36.675
6/18/11 5:03:01 PM,C,35.677
6/18/11 6:03:01 PM,C,35.677
6/18/11 7:03:01 PM,C,34.68
6/18/11 8:03:01 PM,C,32.684
6/18/11 9:03:01 PM,C,28.69
6/18/11 10:03:01 PM,C,26.691
6/18/11 11:03:01 PM,C,27.191
6/19/11 12:03:01 AM,C,26.691
6/19/11 1:03:01 AM,C,26.191
6/19/11 2:03:01 AM,C,27.691
6/19/11 3:03:01 AM,C,29.189
6/19/11 4:03:01 AM,C,28.19
6/19/11 5:03:01 AM,C,24.691
6/19/11 6:03:01 AM,C,25.191
6/19/11 7:03:01 AM,C,26.191
6/19/11 8:03:01 AM,C,28.69
6/19/11 9:03:01 AM,C,29.189
6/19/11 10:03:01 AM,C,31.187
6/19/11 11:03:01 AM,C,32.684
6/19/11 12:03:01 PM,C,34.181
6/19/11 1:03:01 PM,C,35.179
6/19/11 2:03:01 PM,C,35.677
6/19/11 3:03:01 PM,C,37.173
6/19/11 4:03:01 PM,C,36.675
6/19/11 5:03:01 PM,C,37.173
6/19/11 6:03:01 PM,C,37.173
6/19/11 7:03:01 PM,C,35.677
6/19/11 8:03:01 PM,C,34.181
6/19/11 9:03:01 PM,C,32.684
6/19/11 10:03:01 PM,C,31.686
6/19/11 11:03:01 PM,C,31.686
6/20/11 12:03:01 AM,C,30.688
6/20/11 1:03:01 AM,C,29.189
6/20/11 2:03:01 AM,C,28.69
6/20/11 3:03:01 AM,C,28.19
6/20/11 4:03:01 AM,C,26.691
6/20/11 5:03:01 AM,C,26.191
6/20/11 6:03:01 AM,C,25.691
6/20/11 7:03:01 AM,C,25.191
6/20/11 8:03:01 AM,C,25.191
6/20/11 9:03:01 AM,C,26.191
6/20/11 10:03:01 AM,C,27.691
6/20/11 11:03:01 AM,C,27.691
6/20/11 12:03:01 PM,C,27.691
6/20/11 1:03:01 PM,C,29.689
6/20/11 2:03:01 PM,C,30.688
6/20/11 3:03:01 PM,C,31.686
6/20/11 4:03:01 PM,C,31.686
6/20/11 5:03:01 PM,C,32.185
6/20/11 6:03:01 PM,C,31.686
6/20/11 7:03:01 PM,C,32.185
6/20/11 8:03:01 PM,C,30.188
6/20/11 9:03:01 PM,C,28.69
6/20/11 10:03:01 PM,C,25.691
6/20/11 11:03:01 PM,C,25.191
6/21/11 12:03:01 AM,C,25.191
6/21/11 1:03:01 AM,C,25.191
6/21/11 2:03:01 AM,C,26.691
6/21/11 3:03:01 AM,C,26.691
6/21/11 4:03:01 AM,C,24.691
6/21/11 5:03:01 AM,C,19.187
6/21/11 6:03:01 AM,C,19.187
6/21/11 7:03:01 AM,C,18.686
6/21/11 8:03:01 AM,C,21.69
6/21/11 9:03:01 AM,C,22.19
6/21/11 10:03:01 AM,C,23.191
6/21/11 11:03:01 AM,C,25.691
6/21/11 12:03:01 PM,C,26.191
6/21/11 1:03:01 PM,C,28.19
6/21/11 2:03:01 PM,C,30.188
6/21/11 3:03:01 PM,C,32.684
6/21/11 4:03:01 PM,C,32.185
6/21/11 5:03:01 PM,C,32.185
6/21/11 6:03:01 PM,C,33.183
6/21/11 7:03:01 PM,C,33.183
6/21/11 8:03:01 PM,C,31.187
6/21/11 9:03:01 PM,C,26.691
6/21/11 10:03:01 PM,C,25.691
6/21/11 11:03:01 PM,C,24.691
6/22/11 12:03:01 AM,C,24.191
6/22/11 1:03:01 AM,C,23.191
6/22/11 2:03:01 AM,C,24.191
6/22/11 3:03:01 AM,C,23.691
6/22/11 4:03:01 AM,C,23.191
6/22/11 5:03:01 AM,C,21.69
6/22/11 6:03:01 AM,C,21.69
6/22/11 7:03:01 AM,C,21.69
6/22/11 8:03:01 AM,C,22.691
6/22/11 9:03:01 AM,C,25.191
6/22/11 10:03:01 AM,C,29.689
6/22/11 11:03:01 AM,C,31.187
6/22/11 12:03:01 PM,C,29.189
6/22/11 1:03:01 PM,C,30.188
6/22/11 2:03:01 PM,C,30.188
6/22/11 3:03:01 PM,C,35.179
6/22/11 4:03:01 PM,C,31.686
6/22/11 5:03:01 PM,C,33.183
6/22/11 6:03:01 PM,C,34.68
6/22/11 7:03:01 PM,C,33.682
6/22/11 8:03:01 PM,C,31.187
6/22/11 9:03:01 PM,C,29.189
6/22/11 10:03:01 PM,C,25.691
6/22/11 11:03:01 PM,C,25.191
6/23/11 12:03:01 AM,C,24.691
6/23/11 1:03:01 AM,C,21.189
6/23/11 2:03:01 AM,C,20.188
6/23/11 3:03:01 AM,C,20.689
6/23/11 4:03:01 AM,C,19.687
6/23/11 5:03:01 AM,C,21.189
6/23/11 6:03:01 AM,C,21.189
6/23/11 7:03:01 AM,C,21.189
6/23/11 8:03:01 AM,C,23.691
6/23/11 9:03:01 AM,C,28.19
6/23/11 10:03:01 AM,C,29.189
6/23/11 11:03:01 AM,C,32.684
6/23/11 12:03:01 PM,C,33.183
6/23/11 1:03:01 PM,C,35.179
6/23/11 2:03:01 PM,C,36.176
