Date/Time,Unit,Value
6/18/11 9:00:01 AM,C,23.131
6/18/11 10:00:01 AM,C,24.131
6/18/11 11:00:01 AM,C,40.613
6/18/11 12:00:01 PM,C,37.12
6/18/11 1:00:01 PM,C,37.12
6/18/11 2:00:01 PM,C,41.112
6/18/11 3:00:01 PM,C,38.118
6/18/11 4:00:01 PM,C,36.122
6/18/11 5:00:01 PM,C,35.123
6/18/11 6:00:01 PM,C,36.122
6/18/11 7:00:01 PM,C,29.13
6/18/11 8:00:01 PM,C,28.13
6/18/11 9:00:01 PM,C,27.63
6/18/11 10:00:01 PM,C,26.131
6/18/11 11:00:01 PM,C,26.631
6/19/11 12:00:01 AM,C,26.631
6/19/11 1:00:01 AM,C,26.131
6/19/11 2:00:01 AM,C,26.131
6/19/11 3:00:01 AM,C,25.631
6/19/11 4:00:01 AM,C,25.631
6/19/11 5:00:01 AM,C,25.631
6/19/11 6:00:01 AM,C,25.131
6/19/11 7:00:01 AM,C,24.631
6/19/11 8:00:01 AM,C,25.631
6/19/11 9:00:01 AM,C,27.63
6/19/11 10:00:01 AM,C,29.13
6/19/11 11:00:01 AM,C,31.128
6/19/11 12:00:01 PM,C,32.127
6/19/11 1:00:01 PM,C,32.127
6/19/11 2:00:01 PM,C,32.127
6/19/11 3:00:01 PM,C,33.126
6/19/11 4:00:01 PM,C,31.628
6/19/11 5:00:01 PM,C,31.628
6/19/11 6:00:01 PM,C,31.628
6/19/11 7:00:01 PM,C,30.129
6/19/11 8:00:01 PM,C,29.629
6/19/11 9:00:01 PM,C,28.63
6/19/11 10:00:01 PM,C,27.63
6/19/11 11:00:01 PM,C,27.131
6/20/11 12:00:01 AM,C,26.631
6/20/11 1:00:01 AM,C,25.131
6/20/11 2:00:01 AM,C,24.631
6/20/11 3:00:01 AM,C,23.631
6/20/11 4:00:01 AM,C,22.63
6/20/11 5:00:01 AM,C,22.13
6/20/11 6:00:01 AM,C,21.63
6/20/11 7:00:01 AM,C,21.13
6/20/11 8:00:01 AM,C,22.63
6/20/11 9:00:01 AM,C,23.631
6/20/11 10:00:01 AM,C,23.631
6/20/11 11:00:01 AM,C,23.131
6/20/11 12:00:01 PM,C,24.131
6/20/11 1:00:01 PM,C,25.631
6/20/11 2:00:01 PM,C,26.631
6/20/11 3:00:01 PM,C,26.631
6/20/11 4:00:01 PM,C,26.131
6/20/11 5:00:01 PM,C,26.631
6/20/11 6:00:01 PM,C,27.131
