Date/Time,Unit,Value
6/18/11 6:15:01 PM,C,31.656
6/18/11 7:15:01 PM,C,31.656
6/18/11 8:15:01 PM,C,29.158
6/18/11 9:15:01 PM,C,28.159
6/18/11 10:15:01 PM,C,27.659
6/18/11 11:15:01 PM,C,27.659
6/19/11 12:15:01 AM,C,27.659
6/19/11 1:15:01 AM,C,27.16
6/19/11 2:15:01 AM,C,26.66
6/19/11 3:15:01 AM,C,26.16
6/19/11 4:15:01 AM,C,26.16
6/19/11 5:15:01 AM,C,26.66
6/19/11 6:15:01 AM,C,25.16
6/19/11 7:15:01 AM,C,25.66
6/19/11 8:15:01 AM,C,27.16
6/19/11 9:15:01 AM,C,29.158
6/19/11 10:15:01 AM,C,30.657
6/19/11 11:15:01 AM,C,34.65
6/19/11 12:15:01 PM,C,34.65
6/19/11 1:15:01 PM,C,34.65
6/19/11 2:15:01 PM,C,34.65
6/19/11 3:15:01 PM,C,34.65
6/19/11 4:15:01 PM,C,34.65
6/19/11 5:15:01 PM,C,34.65
6/19/11 6:15:01 PM,C,33.153
6/19/11 7:15:01 PM,C,32.654
6/19/11 8:15:01 PM,C,30.657
6/19/11 9:15:01 PM,C,29.658
6/19/11 10:15:01 PM,C,28.659
6/19/11 11:15:01 PM,C,28.159
6/20/11 12:15:01 AM,C,27.16
6/20/11 1:15:01 AM,C,26.16
6/20/11 2:15:01 AM,C,25.66
6/20/11 3:15:01 AM,C,24.16
6/20/11 4:15:01 AM,C,23.66
6/20/11 5:15:01 AM,C,22.659
6/20/11 6:15:01 AM,C,22.159
6/20/11 7:15:01 AM,C,22.159
6/20/11 8:15:01 AM,C,23.66
6/20/11 9:15:01 AM,C,25.16
6/20/11 10:15:01 AM,C,25.66
6/20/11 11:15:01 AM,C,27.659
6/20/11 12:15:01 PM,C,27.16
6/20/11 1:15:01 PM,C,28.159
6/20/11 2:15:01 PM,C,28.659
6/20/11 3:15:01 PM,C,28.659
6/20/11 4:15:01 PM,C,30.157
6/20/11 5:15:01 PM,C,30.157
6/20/11 6:15:01 PM,C,28.659
6/20/11 7:15:01 PM,C,28.659
6/20/11 8:15:01 PM,C,26.16
6/20/11 9:15:01 PM,C,25.66
6/20/11 10:15:01 PM,C,24.16
6/20/11 11:15:01 PM,C,23.66
6/21/11 12:15:01 AM,C,23.66
6/21/11 1:15:01 AM,C,23.16
6/21/11 2:15:01 AM,C,23.66
6/21/11 3:15:01 AM,C,23.16
6/21/11 4:15:01 AM,C,22.659
6/21/11 5:15:01 AM,C,18.155
6/21/11 6:15:01 AM,C,21.659
6/21/11 7:15:01 AM,C,19.657
6/21/11 8:15:01 AM,C,21.158
6/21/11 9:15:01 AM,C,21.659
6/21/11 10:15:01 AM,C,22.659
6/21/11 11:15:01 AM,C,24.66
6/21/11 12:15:01 PM,C,25.66
6/21/11 1:15:01 PM,C,28.659
6/21/11 2:15:01 PM,C,27.659
6/21/11 3:15:01 PM,C,29.158
6/21/11 4:15:01 PM,C,30.657
6/21/11 5:15:01 PM,C,32.654
6/21/11 6:15:01 PM,C,29.658
6/21/11 7:15:01 PM,C,30.657
6/21/11 8:15:01 PM,C,27.16
6/21/11 9:15:01 PM,C,25.16
6/21/11 10:15:01 PM,C,24.16
6/21/11 11:15:01 PM,C,21.659
6/22/11 12:15:01 AM,C,22.159
6/22/11 1:15:01 AM,C,23.16
6/22/11 2:15:01 AM,C,22.659
6/22/11 3:15:01 AM,C,20.658
6/22/11 4:15:01 AM,C,19.657
6/22/11 5:15:01 AM,C,18.155
6/22/11 6:15:01 AM,C,19.156
6/22/11 7:15:01 AM,C,21.158
6/22/11 8:15:01 AM,C,24.66
6/22/11 9:15:01 AM,C,28.159
6/22/11 10:15:01 AM,C,29.158
6/22/11 11:15:01 AM,C,32.654
6/22/11 12:15:01 PM,C,26.66
6/22/11 1:15:01 PM,C,27.16
6/22/11 2:15:01 PM,C,29.158
6/22/11 3:15:01 PM,C,30.657
6/22/11 4:15:01 PM,C,29.658
6/22/11 5:15:01 PM,C,31.156
6/22/11 6:15:01 PM,C,29.658
6/22/11 7:15:01 PM,C,31.656
6/22/11 8:15:01 PM,C,27.16
6/22/11 9:15:01 PM,C,25.66
6/22/11 10:15:01 PM,C,25.16
6/22/11 11:15:01 PM,C,24.16
6/23/11 12:15:01 AM,C,23.16
6/23/11 1:15:01 AM,C,22.659
6/23/11 2:15:01 AM,C,21.158
6/23/11 3:15:01 AM,C,20.658
6/23/11 4:15:01 AM,C,20.157
6/23/11 5:15:01 AM,C,20.658
6/23/11 6:15:01 AM,C,21.158
6/23/11 7:15:01 AM,C,22.659
6/23/11 8:15:01 AM,C,24.66
6/23/11 9:15:01 AM,C,27.659
6/23/11 10:15:01 AM,C,30.157
6/23/11 11:15:01 AM,C,33.652
6/23/11 12:15:01 PM,C,31.156
6/23/11 1:15:01 PM,C,33.153
6/23/11 2:15:01 PM,C,34.151
