Date/Time,Unit,Value
6/18/11 9:01:01 AM,C,23.144
6/18/11 10:01:01 AM,C,23.644
6/18/11 11:01:01 AM,C,32.638
6/18/11 12:01:01 PM,C,40.618
6/18/11 1:01:01 PM,C,34.136
6/18/11 2:01:01 PM,C,35.134
6/18/11 3:01:01 PM,C,33.637
6/18/11 4:01:01 PM,C,37.627
6/18/11 5:01:01 PM,C,35.632
6/18/11 6:01:01 PM,C,34.136
6/18/11 7:01:01 PM,C,31.141
6/18/11 8:01:01 PM,C,28.643
6/18/11 9:01:01 PM,C,24.144
6/18/11 10:01:01 PM,C,20.642
6/18/11 11:01:01 PM,C,19.641
6/19/11 12:01:01 AM,C,20.142
6/19/11 1:01:01 AM,C,18.139
6/19/11 2:01:01 AM,C,19.641
6/19/11 3:01:01 AM,C,18.139
6/19/11 4:01:01 AM,C,17.638
6/19/11 5:01:01 AM,C,15.634
6/19/11 6:01:01 AM,C,15.133
6/19/11 7:01:01 AM,C,15.634
6/19/11 8:01:01 AM,C,20.642
6/19/11 9:01:01 AM,C,27.644
6/19/11 10:01:01 AM,C,30.142
6/19/11 11:01:01 AM,C,32.638
6/19/11 12:01:01 PM,C,33.138
6/19/11 1:01:01 PM,C,35.134
6/19/11 2:01:01 PM,C,36.131
6/19/11 3:01:01 PM,C,37.627
6/19/11 4:01:01 PM,C,37.627
6/19/11 5:01:01 PM,C,37.129
6/19/11 6:01:01 PM,C,35.134
6/19/11 7:01:01 PM,C,33.138
6/19/11 8:01:01 PM,C,32.638
6/19/11 9:01:01 PM,C,31.141
6/19/11 10:01:01 PM,C,30.142
6/19/11 11:01:01 PM,C,29.143
6/20/11 12:01:01 AM,C,28.144
6/20/11 1:01:01 AM,C,28.144
6/20/11 2:01:01 AM,C,27.144
6/20/11 3:01:01 AM,C,26.644
6/20/11 4:01:01 AM,C,25.645
6/20/11 5:01:01 AM,C,25.645
6/20/11 6:01:01 AM,C,25.145
6/20/11 7:01:01 AM,C,24.144
6/20/11 8:01:01 AM,C,24.144
6/20/11 9:01:01 AM,C,26.144
6/20/11 10:01:01 AM,C,27.144
6/20/11 11:01:01 AM,C,28.144
6/20/11 12:01:01 PM,C,28.643
6/20/11 1:01:01 PM,C,30.142
6/20/11 2:01:01 PM,C,31.141
6/20/11 3:01:01 PM,C,31.64
6/20/11 4:01:01 PM,C,33.138
6/20/11 5:01:01 PM,C,33.138
6/20/11 6:01:01 PM,C,30.641
6/20/11 7:01:01 PM,C,28.643
6/20/11 8:01:01 PM,C,27.644
6/20/11 9:01:01 PM,C,26.644
6/20/11 10:01:01 PM,C,20.642
6/20/11 11:01:01 PM,C,17.137
6/21/11 12:01:01 AM,C,15.133
6/21/11 1:01:01 AM,C,14.632
6/21/11 2:01:01 AM,C,15.133
6/21/11 3:01:01 AM,C,14.632
6/21/11 4:01:01 AM,C,13.629
6/21/11 5:01:01 AM,C,15.634
6/21/11 6:01:01 AM,C,12.626
6/21/11 7:01:01 AM,C,15.634
6/21/11 8:01:01 AM,C,19.641
6/21/11 9:01:01 AM,C,22.644
6/21/11 10:01:01 AM,C,23.644
6/21/11 11:01:01 AM,C,25.145
6/21/11 12:01:01 PM,C,26.644
6/21/11 1:01:01 PM,C,28.643
6/21/11 2:01:01 PM,C,29.642
6/21/11 3:01:01 PM,C,31.141
6/21/11 4:01:01 PM,C,33.138
6/21/11 5:01:01 PM,C,33.138
6/21/11 6:01:01 PM,C,31.141
6/21/11 7:01:01 PM,C,27.644
6/21/11 8:01:01 PM,C,24.644
6/21/11 9:01:01 PM,C,19.641
6/21/11 10:01:01 PM,C,18.139
6/21/11 11:01:01 PM,C,16.636
6/22/11 12:01:01 AM,C,16.135
6/22/11 1:01:01 AM,C,14.632
6/22/11 2:01:01 AM,C,24.144
6/22/11 3:01:01 AM,C,23.644
6/22/11 4:01:01 AM,C,22.143
6/22/11 5:01:01 AM,C,21.143
6/22/11 6:01:01 AM,C,17.137
6/22/11 7:01:01 AM,C,16.135
6/22/11 8:01:01 AM,C,17.137
6/22/11 9:01:01 AM,C,21.143
6/22/11 10:01:01 AM,C,27.144
6/22/11 11:01:01 AM,C,30.641
6/22/11 12:01:01 PM,C,27.144
6/22/11 1:01:01 PM,C,27.644
6/22/11 2:01:01 PM,C,28.643
6/22/11 3:01:01 PM,C,33.637
6/22/11 4:01:01 PM,C,35.134
6/22/11 5:01:01 PM,C,33.637
6/22/11 6:01:01 PM,C,33.138
6/22/11 7:01:01 PM,C,29.143
6/22/11 8:01:01 PM,C,29.642
6/22/11 9:01:01 PM,C,28.643
6/22/11 10:01:01 PM,C,27.144
6/22/11 11:01:01 PM,C,26.644
6/23/11 12:01:01 AM,C,25.645
6/23/11 1:01:01 AM,C,24.644
6/23/11 2:01:01 AM,C,22.644
6/23/11 3:01:01 AM,C,17.137
6/23/11 4:01:01 AM,C,16.135
6/23/11 5:01:01 AM,C,15.133
6/23/11 6:01:01 AM,C,14.131
6/23/11 7:01:01 AM,C,13.629
6/23/11 8:01:01 AM,C,16.135
6/23/11 9:01:01 AM,C,19.14
6/23/11 10:01:01 AM,C,24.644
6/23/11 11:01:01 AM,C,32.638
6/23/11 12:01:01 PM,C,34.136
6/23/11 1:01:01 PM,C,34.635
6/23/11 2:01:01 PM,C,35.134
6/23/11 3:01:01 PM,C,37.129
6/23/11 4:01:01 PM,C,38.126
6/23/11 5:01:01 PM,C,38.126
6/23/11 6:01:01 PM,C,36.131
6/23/11 7:01:01 PM,C,30.641
6/23/11 8:01:01 PM,C,25.645
6/23/11 9:01:01 PM,C,29.642
6/23/11 10:01:01 PM,C,23.644
6/23/11 11:01:01 PM,C,22.143
6/24/11 12:01:01 AM,C,27.144
6/24/11 1:01:01 AM,C,18.139
6/24/11 2:01:01 AM,C,16.135
6/24/11 3:01:01 AM,C,17.137
6/24/11 4:01:01 AM,C,16.636
6/24/11 5:01:01 AM,C,26.644
6/24/11 6:01:01 AM,C,28.144
6/24/11 7:01:01 AM,C,28.643
6/24/11 8:01:01 AM,C,29.143
6/24/11 9:01:01 AM,C,30.641
6/24/11 10:01:01 AM,C,33.138
6/24/11 11:01:01 AM,C,34.136
6/24/11 12:01:01 PM,C,36.131
6/24/11 1:01:01 PM,C,38.126
6/24/11 2:01:01 PM,C,38.624
6/24/11 3:01:01 PM,C,39.621
6/24/11 4:01:01 PM,C,40.618
6/24/11 5:01:01 PM,C,40.12
6/24/11 6:01:01 PM,C,36.63
6/24/11 7:01:01 PM,C,31.141
6/24/11 8:01:01 PM,C,28.144
6/24/11 9:01:01 PM,C,23.144
6/24/11 10:01:01 PM,C,20.142
6/24/11 11:01:01 PM,C,18.64
6/25/11 12:01:01 AM,C,19.14
6/25/11 1:01:01 AM,C,18.64
6/25/11 2:01:01 AM,C,19.641
6/25/11 3:01:01 AM,C,19.14
6/25/11 4:01:01 AM,C,20.642
6/25/11 5:01:01 AM,C,19.14
6/25/11 6:01:01 AM,C,20.642
6/25/11 7:01:01 AM,C,17.638
6/25/11 8:01:01 AM,C,27.144
6/25/11 9:01:01 AM,C,29.642
6/25/11 10:01:01 AM,C,30.142
6/25/11 11:01:01 AM,C,35.632
6/25/11 12:01:01 PM,C,37.129
6/25/11 1:01:01 PM,C,38.624
6/25/11 2:01:01 PM,C,39.123
6/25/11 3:01:01 PM,C,40.12
6/25/11 4:01:01 PM,C,40.12
6/25/11 5:01:01 PM,C,40.12
6/25/11 6:01:01 PM,C,38.624
6/25/11 7:01:01 PM,C,33.637
6/25/11 8:01:01 PM,C,32.139
6/25/11 9:01:01 PM,C,24.144
6/25/11 10:01:01 PM,C,20.642
6/25/11 11:01:01 PM,C,20.642
6/26/11 12:01:01 AM,C,18.64
6/26/11 1:01:01 AM,C,19.14
6/26/11 2:01:01 AM,C,18.64
6/26/11 3:01:01 AM,C,17.137
6/26/11 4:01:01 AM,C,16.636
6/26/11 5:01:01 AM,C,16.135
6/26/11 6:01:01 AM,C,15.133
6/26/11 7:01:01 AM,C,15.133
6/26/11 8:01:01 AM,C,16.636
6/26/11 9:01:01 AM,C,20.142
6/26/11 10:01:01 AM,C,26.144
